,Player,ID,Tm
297,Jonathan Isaac,isaacjo01,ORL
298,Wesley Iwundu,iwundwe01,ORL
299,Frank Jackson,jacksfr01,NOP
300,Jaren Jackson Jr.,jacksja02,MEM
301,Josh Jackson,jacksjo02,MEM
302,Justin Jackson,jacksju01,DAL
305,Reggie Jackson,jacksre01,LAC
306,Justin James,jamesju01,SAC
307,LeBron James,jamesle01,LAL
308,Amile Jefferson,jeffeam01,ORL
309,DaQuan Jeffries,jeffrda01,SAC
310,Ty Jerome,jeromty01,PHO
311,Alize Johnson,johnsal02,IND
312,B.J. Johnson,johnsbj01,ORL
313,Cameron Johnson,johnsca02,PHO
316,James Johnson,johnsja01,MIN
317,Keldon Johnson,johnske04,SAS
318,Stanley Johnson,johnsst04,TOR
319,Tyler Johnson,johnsty01,PHO
320,Nikola Joki?,jokicni01,DEN
321,Damian Jones,jonesda03,ATL
322,Derrick Jones Jr.,jonesde02,MIA
323,Tyus Jones,jonesty01,MEM
324,DeAndre Jordan,jordade01,BRK
325,Cory Joseph,josepco01,SAC
326,Mfiondu Kabengele,kabenmf01,LAC
327,Frank Kaminsky,kaminfr01,PHO
328,Enes Kanter,kanteen01,BOS
329,Luke Kennard,kennalu01,DET
330,Stanton Kidd,kiddst01,UTA
333,Michael Kidd-Gilchrist,kiddgmi01,DAL
334,Louis King,kinglo02,DET
335,Maxi Kleber,klebima01,DAL
338,Brandon Knight,knighbr03,DET
339,Kevin Knox,knoxke01,NYK
340,John Konchar,konchjo01,MEM
341,Furkan Korkmaz,korkmfu01,PHI
342,Luke Kornet,kornelu01,CHI
343,Kyle Korver,korveky01,MIL
344,Rodions Kurucs,kurucro01,BRK
345,Kyle Kuzma,kuzmaky01,LAL
346,Skal Labissière,labissk01,POR
347,Jeremy Lamb,lambje01,IND
348,Romeo Langford,langfro01,BOS
349,Zach LaVine,lavinza01,CHI
350,Vic Law,lawvi01,ORL
351,Jake Layman,laymaja01,MIN
352,T.J. Leaf,leaftj01,IND
353,Jalen Lecque,lecquja01,PHO
354,Courtney Lee,leeco01,DAL
355,Damion Lee,leeda03,GSW
358,Alex Len,lenal01,SAC
359,Kawhi Leonard,leonaka01,LAC
360,Meyers Leonard,leoname01,MIA
361,Caris LeVert,leverca01,BRK
362,Damian Lillard,lillada01,POR
363,Nassir Little,littlna01,POR
364,Kevon Looney,looneke01,GSW
365,Brook Lopez,lopezbr01,MIL
366,Robin Lopez,lopezro01,MIL
367,Kevin Love,loveke01,CLE
368,Kyle Lowry,lowryky01,TOR
369,Timothé Luwawu-Cabarrot,luwawti01,BRK
370,Trey Lyles,lylestr01,SAS
371,Daryl Macon,maconda01,MIA
372,J.P. Macura,macurjp01,CLE
